2025-05-01 23:47:06,017 - my_logger - INFO - Pipeline runner started at 2025-05-01 23:47:06
2025-05-01 23:53:15,332 - my_logger - INFO - Pipeline runner started at 2025-05-01 23:53:15
2025-05-01 23:53:15,884 - my_logger - INFO - Phase dataset completed in 2025-05-01 23:53:15
2025-05-01 23:55:59,433 - my_logger - INFO - Pipeline runner started at 2025-05-01 23:55:59
2025-05-01 23:56:00,196 - my_logger - INFO - Phase dataset completed in 2025-05-01 23:56:00
2025-05-01 23:56:00,213 - my_logger - INFO - Return result:s    train_size (%)  train_size_count  validation_size (%)  validation_size_count  test_size (%)  test_size_coount  currentSE  differenceToPriorSE  differenceToPriorSE (%)
0            0.95           50767.0                0.025                 1336.0          0.025            1336.0   0.009769             0.009769                      inf
1            0.90           48095.0                0.050                 2672.0          0.050            2672.0   0.006908            -0.002861                -0.292893
2            0.85           45423.0                0.075                 4008.0          0.075            4008.0   0.005640            -0.001268                -0.183503
3            0.80           42751.0                0.100                 5344.0          0.100            5344.0   0.004885            -0.000756                -0.133975
4            0.75           40079.0                0.125                 6680.0          0.125            6680.0   0.004369            -0.000516                -0.105573
5            0.70           37407.0                0.150                 8016.0          0.150            8016.0   0.003988            -0.000381                -0.087129
6            0.65           34735.0                0.175                 9352.0          0.175            9352.0   0.003692            -0.000296                -0.074180
7            0.60           32063.0                0.200                10688.0          0.200           10688.0   0.003454            -0.000238                -0.064586
8            0.55           29391.0                0.225                12024.0          0.225           12024.0   0.003256            -0.000198                -0.057191
9            0.50           26720.0                0.250                13360.0          0.250           13360.0   0.003089            -0.000167                -0.051317
